Ten,Dia chi,Loai,Lat,Lng,Tu khoa goc
Trung Tâm Y Khoa Diag,"309 Đường Trần Phú, Phường 3, Quận 5, Thành phố Hồ Chí Minh 72710, Việt Nam",Trung tâm y tế,10.75642,106.6734042,Trung tâm y tế Quận 5
Trạm Y Tế Phường 11 Quận 5,"101 Đ. Phù Đổng Thiên Vương, Phường 11, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Trung tâm y tế công cộng,10.7548847,106.6623223,Trung tâm y tế Quận 5
Trạm Y Tế Phường 4 Quận 5,"53 Trần Phú, Phường 4, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Trung tâm y tế,10.7618186,106.67854659999999,Trung tâm y tế Quận 5
Trạm Y Tế Phường 1 Quận 5,"76 Đ. Nguyễn Biểu, Phường 1, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Trung tâm y tế,10.755133299999999,106.68409369999999,Trung tâm y tế Quận 5
Bệnh viện Chợ Rẫy,"201B Nguyễn Chí Thanh, Phường 12, Quận 5, Thành phố Hồ Chí Minh 700000, Việt Nam",Bệnh viện chính phủ,10.7578646,106.6595131,Bệnh viện Quận 5
Bệnh viện Quân Y 7A,"466 Nguyễn Trãi, Phường 8, Quận 5, Thành phố Hồ Chí Minh 700000, Việt Nam",Bệnh viện quân đội,10.755826299999999,106.67095379999999,Bệnh viện Quận 5
Bệnh viện Hùng Vương,"9 Đ. Lý Thường Kiệt, Phường 12, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Bệnh viện chuyên khoa,10.7565723,106.66182739999999,Bệnh viện Quận 5
Bệnh viện Đại học Y Dược TP.HCM,"Cơ sở 1, 215 Đ. Hồng Bàng, Phường 11, Quận 5, Thành phố Hồ Chí Minh 700000, Việt Nam",Bệnh viện đại học,10.7553783,106.6644592,Bệnh viện Quận 5
BỆNH VIỆN NGUYỄN TRÃI,"314 Nguyễn Trãi, Phường 7, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Bệnh viện,10.756156299999999,106.6749535,Bệnh viện Quận 5
Bệnh viện Răng Hàm Mặt Trung ương Thành phố Hồ Chí Minh,"201A Nguyễn Chí Thanh, Phường, Quận 5, Thành phố Hồ Chí Minh 70000, Việt Nam",Bệnh viện chuyên khoa,10.7579557,106.6605166,Bệnh viện Quận 5
Bệnh viện Nguyễn Tri Phương,"468 Nguyễn Trãi, Phường 7, Quận 5, Thành phố Hồ Chí Minh 70000, Việt Nam",Bệnh viện,10.7550025,106.6705345,Bệnh viện Quận 5
